Pipeline_File,Reference_File,Status,Quarter,Excel_Column,Column_Code,Section,Category,Metric,Column_Description,Pipeline_Value,Reference_Value,Difference,Source_File,Source_Value,Pipeline_Correct,Reference_Correct,Verification_Note
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,22,SWEPENFND.ALLTYPES.SWEHOUSEHOLD.NETSAVINGPERC.Q,All types of funds,Swedish households,Net savings %,"All types of funds: Swedish households, direct inv.: Net savings %",-9.70915511367357,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,23,SWEPENFND.ALLTYPES.ISK.NETSAVINGPERC.Q,All types of funds,ISK,Net savings %,All types of funds: ISK (Investment Savings Account): Net savings %,23.574703246745,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,24,SWEPENFND.ALLTYPES.IPS.NETSAVINGPERC.Q,All types of funds,IPS,Net savings %,All types of funds: IPS (Individual Pension Saving): Net savings %,-2.763416712209,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,25,SWEPENFND.ALLTYPES.UNITLINK.NETSAVINGPERC.Q,All types of funds,Unit linked,Net savings %,All types of funds: Unit linked: Net savings %,17.4731003051708,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,26,SWEPENFND.ALLTYPES.PREMPENSSAVING.NETSAVINGPERC.Q,All types of funds,Premium Pension,Net savings %,All types of funds: Premium Pension Savings: Net savings %,8.51089395416723,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,27,SWEPENFND.ALLTYPES.NOMINEEACC.NETSAVINGPERC.Q,All types of funds,Nominee Accounts,Net savings %,All types of funds: Nominee Accounts: Net savings %,28.4560589035982,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,28,SWEPENFND.ALLTYPES.NONPROFINST.NETSAVINGPERC.Q,All types of funds,Non profit inst.,Net savings %,All types of funds: Non profit institutions serving households: Net savings %,0.575700670916096,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,29,SWEPENFND.ALLTYPES.SWECORP.NETSAVINGPERC.Q,All types of funds,Swedish corporations,Net savings %,All types of funds: Swedish corporations: Net savings %,21.9484729226925,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,30,SWEPENFND.ALLTYPES.OTHERS.NETSAVINGPERC.Q,All types of funds,Others,Net savings %,All types of funds: Others: Net savings %,11.9336418225928,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,31,SWEPENFND.ALLTYPES.TOTAL.NETSAVINGPERC.Q,All types of funds,TOTAL,Net savings %,All types of funds: TOTAL: Net savings %,100.0,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,72,SWEPENFND.EQUITYFUND.SWEHOUSEHOLD.NETSAVINGPERC.Q,Equity funds,Swedish households,Net savings %,"Equity funds: Swedish households, direct inv.: Net savings %",-2.71913959037315,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,73,SWEPENFND.EQUITYFUND.ISK.NETSAVINGPERC.Q,Equity funds,ISK,Net savings %,Equity funds: ISK (Investment Savings Account): Net savings %,28.2422247125236,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,74,SWEPENFND.EQUITYFUND.IPS.NETSAVINGPERC.Q,Equity funds,IPS,Net savings %,Equity funds: IPS (Individual Pension Saving): Net savings %,-2.68952545425304,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,75,SWEPENFND.EQUITYFUND.UNITLINK.NETSAVINGPERC.Q,Equity funds,Unit linked,Net savings %,Equity funds: Unit linked: Net savings %,12.7058977999822,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,76,SWEPENFND.EQUITYFUND.PREMPENSSAVING.NETSAVINGPERC.Q,Equity funds,Premium Pension,Net savings %,Equity funds: Premium Pension Savings: Net savings %,-9.76802068918659,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,77,SWEPENFND.EQUITYFUND.NOMIEEACC.NETSAVINGPERC.Q,Equity funds,Nominee Accounts,Net savings %,Equity funds: Nominee Accounts: Net savings %,55.0236956091094,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,78,SWEPENFND.EQUITYFUND.NONPROFINST.NETSAVINGPERC.Q,Equity funds,Non profit inst.,Net savings %,Equity funds: Non profit institutions serving households: Net savings %,0.756292860585075,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,79,SWEPENFND.EQUITYFUND.SWECORP.NETSAVINGPERC.Q,Equity funds,Swedish corporations,Net savings %,Equity funds: Swedish corporations: Net savings %,18.8951949129049,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,80,SWEPENFND.EQUITYFUND.OTHER.NETSAVINGPERC.Q,Equity funds,Others,Net savings %,Equity funds: Others: Net savings %,-0.446620161292406,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,81,SWEPENFND.EQUITYFUND.TOTAL.NETSAVINGPERC.Q,Equity funds,TOTAL,Net savings %,Equity funds: TOTAL: Net savings %,100.0,,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,NEW_VALUE,2024-Q4,122,SWEPENFND.BALANCFUND.SWEHOUSEHOLD.NETSAVINGPERC.Q,Balanced funds,Swedish households,Net savings %,"Balanced funds: Swedish households, direct inv.: Net savings %",13.1335005231091,,,fund-saving-by-category-2024.xlsx,,,,
