Pipeline_File,Reference_File,Status,Quarter,Excel_Column,Column_Code,Section,Category,Metric,Column_Description,Pipeline_Value,Reference_Value,Difference,Source_File,Source_Value,Pipeline_Correct,Reference_Correct,Verification_Note
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,12,SWEPENFND.ALLTYPES.SWEHOUSEHOLD.NETSAVINGSUM.Q,All types of funds,Swedish households,Net savings sum,"All types of funds: Swedish households, direct inv.: Net savings sum",,-10373.5,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,13,SWEPENFND.ALLTYPES.ISK.NETSAVINGSUM.Q,All types of funds,ISK,Net savings sum,All types of funds: ISK (Investment Savings Account): Net savings sum,,24972.11,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,14,SWEPENFND.ALLTYPES.IPS.NETSAVINGSUM.Q,All types of funds,IPS,Net savings sum,All types of funds: IPS (Individual Pension Saving): Net savings sum,,-3669.67,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,15,SWEPENFND.ALLTYPES.UNITLINK.NETSAVINGSUM.Q,All types of funds,Unit linked,Net savings sum,All types of funds: Unit linked: Net savings sum,,28134.86,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,16,SWEPENFND.ALLTYPES.PREMPENSSAVING.NETSAVINGSUM.Q,All types of funds,Premium Pension,Net savings sum,All types of funds: Premium Pension Savings: Net savings sum,,-16377.4,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,17,SWEPENFND.ALLTYPES.NOMINEEACC.NETSAVINGSUM.Q,All types of funds,Nominee Accounts,Net savings sum,All types of funds: Nominee Accounts: Net savings sum,,48725.42,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,18,SWEPENFND.ALLTYPES.NONPROFINST.NETSAVINGSUM.Q,All types of funds,Non profit inst.,Net savings sum,All types of funds: Non profit institutions serving households: Net savings sum,,627.17,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,19,SWEPENFND.ALLTYPES.SWECORP.NETSAVINGSUM.Q,All types of funds,Swedish corporations,Net savings sum,All types of funds: Swedish corporations: Net savings sum,,28877.68,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,20,SWEPENFND.ALLTYPES.OTHERS.NETSAVINGSUM.Q,All types of funds,Others,Net savings sum,All types of funds: Others: Net savings sum,,13602.06,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,21,SWEPENFND.ALLTYPES.TOTAL.NETSAVINGSUM.Q,All types of funds,TOTAL,Net savings sum,All types of funds: TOTAL: Net savings sum,,114518.7,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,22,SWEPENFND.ALLTYPES.SWEHOUSEHOLD.NETSAVINGPERC.Q,All types of funds,Swedish households,Net savings %,"All types of funds: Swedish households, direct inv.: Net savings %",,-9.05834434754423,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,23,SWEPENFND.ALLTYPES.ISK.NETSAVINGPERC.Q,All types of funds,ISK,Net savings %,All types of funds: ISK (Investment Savings Account): Net savings %,,21.8061378960575,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,24,SWEPENFND.ALLTYPES.IPS.NETSAVINGPERC.Q,All types of funds,IPS,Net savings %,All types of funds: IPS (Individual Pension Saving): Net savings %,,-3.20442806206706,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,25,SWEPENFND.ALLTYPES.UNITLINK.NETSAVINGPERC.Q,All types of funds,Unit linked,Net savings %,All types of funds: Unit linked: Net savings %,,24.5679134380824,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,26,SWEPENFND.ALLTYPES.PREMPENSSAVING.NETSAVINGPERC.Q,All types of funds,Premium Pension,Net savings %,All types of funds: Premium Pension Savings: Net savings %,,-14.3010767147939,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,27,SWEPENFND.ALLTYPES.NOMINEEACC.NETSAVINGPERC.Q,All types of funds,Nominee Accounts,Net savings %,All types of funds: Nominee Accounts: Net savings %,,42.547995646476,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,28,SWEPENFND.ALLTYPES.NONPROFINST.NETSAVINGPERC.Q,All types of funds,Non profit inst.,Net savings %,All types of funds: Non profit institutions serving households: Net savings %,,0.547657186528107,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,29,SWEPENFND.ALLTYPES.SWECORP.NETSAVINGPERC.Q,All types of funds,Swedish corporations,Net savings %,All types of funds: Swedish corporations: Net savings %,,25.2165584805698,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,30,SWEPENFND.ALLTYPES.OTHERS.NETSAVINGPERC.Q,All types of funds,Others,Net savings %,All types of funds: Others: Net savings %,,11.8775864766913,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,31,SWEPENFND.ALLTYPES.TOTAL.NETSAVINGPERC.Q,All types of funds,TOTAL,Net savings %,All types of funds: TOTAL: Net savings %,,100.0,,fund-saving-by-category-2024.xlsx,,,,
